AMD Athlon 64 3500+,65.0,45.0,77.0
AMD Athlon 200GE,14.0,35.0,192.0
Intel Xeon E5-2603 v2,22.0,80.0,160.0
AMD Phenom II X4 980 BE,45.0,125.0,258.0
Intel Xeon E5-2470 v2,22.0,95.0,160.0
AMD Phenom X4 9750 (125W),65.0,125.0,285.0
Intel Pentium D 930,65.0,130.0,140.0
AMD Athlon 64 X2 4200+,90.0,89.0,156.0
AMD Sempron 2800+,130.0,62.0,80.0
Intel Core i7-3632QM,22.0,35.0,160.0
AMD C-70,40.0,9.0,75.0
Intel Core i5-8269U,14.0,28.0,123.0
AMD Phenom X4 9600 BE,65.0,95.0,285.0
Intel Pentium 3560Y,22.0,12.0,118.0
Intel Pentium 4 506,90.0,84.0,109.0
Intel Xeon E5-2430 v2,22.0,80.0,160.0
AMD Athlon 64 X2 4800+,90.0,110.0,199.0
Intel Core i5-3427U,22.0,17.0,118.0
AMD Athlon 1100,180.0,60.0,120.0
Intel Core i7-975,45.0,130.0,263.0
